"perf_metric","perf_metric_diff","pvalue","names","method","perf_metric_name","seed"
1,0,1,"V1167","glmnet","AUC",NA
1,0,1,"V1168","glmnet","AUC",NA
1,0,1,"V1169","glmnet","AUC",NA
1,0,1,"V117","glmnet","AUC",NA
1,0,1,"V1170","glmnet","AUC",NA
1,0,1,"V1171","glmnet","AUC",NA
1,0,1,"V1172","glmnet","AUC",NA
1,0,1,"V1173","glmnet","AUC",NA
1,0,1,"V1174","glmnet","AUC",NA
1,0,1,"V1175","glmnet","AUC",NA
1,0,1,"V1176","glmnet","AUC",NA
1,0,1,"V1177","glmnet","AUC",NA
1,0,1,"V1178","glmnet","AUC",NA
1,0,1,"V1179","glmnet","AUC",NA
1,0,1,"V118","glmnet","AUC",NA
1,0,1,"V1180","glmnet","AUC",NA
1,0,1,"V1181","glmnet","AUC",NA
1,0,1,"V1182","glmnet","AUC",NA
1,0,1,"V1183","glmnet","AUC",NA
1,0,1,"V1184","glmnet","AUC",NA
1,0,1,"V1185","glmnet","AUC",NA
1,0,1,"V1186","glmnet","AUC",NA
1,0,1,"V1187","glmnet","AUC",NA
1,0,1,"V1188","glmnet","AUC",NA
1,0,1,"V1189","glmnet","AUC",NA
1,0,1,"V119","glmnet","AUC",NA
1,0,1,"V1190","glmnet","AUC",NA
1,0,1,"V1191","glmnet","AUC",NA
1,0,1,"V1192","glmnet","AUC",NA
1,0,1,"V1193","glmnet","AUC",NA
1,0,1,"V1194","glmnet","AUC",NA
1,0,1,"V1195","glmnet","AUC",NA
1,0,1,"V1196","glmnet","AUC",NA
1,0,1,"V1197","glmnet","AUC",NA
1,0,1,"V1198","glmnet","AUC",NA
1,0,1,"V1199","glmnet","AUC",NA
1,0,1,"V12","glmnet","AUC",NA
1,0,1,"V120","glmnet","AUC",NA
1,0,1,"V1200","glmnet","AUC",NA
1,0,1,"V1201","glmnet","AUC",NA
1,0,1,"V1202","glmnet","AUC",NA
1,0,1,"V1203","glmnet","AUC",NA
1,0,1,"V1204","glmnet","AUC",NA
1,0,1,"V1205","glmnet","AUC",NA
1,0,1,"V1206","glmnet","AUC",NA
1,0,1,"V1207","glmnet","AUC",NA
1,0,1,"V1208","glmnet","AUC",NA
1,0,1,"V1209","glmnet","AUC",NA
1,0,1,"V121","glmnet","AUC",NA
1,0,1,"V1210","glmnet","AUC",NA
1,0,1,"V1211","glmnet","AUC",NA
1,0,1,"V1212","glmnet","AUC",NA
1,0,1,"V1213","glmnet","AUC",NA
1,0,1,"V1214","glmnet","AUC",NA
1,0,1,"V1215","glmnet","AUC",NA
1,0,1,"V1216","glmnet","AUC",NA
1,0,1,"V1217","glmnet","AUC",NA
1,0,1,"V1218","glmnet","AUC",NA
1,0,1,"V1219","glmnet","AUC",NA
1,0,1,"V122","glmnet","AUC",NA
1,0,1,"V1220","glmnet","AUC",NA
1,0,1,"V1221","glmnet","AUC",NA
